Lead ID,Username/Name,Platform,Link,Pain Point,Quote,Persona Match,Intent Score (1-10),Persona Match (1-10),Reachability (1-10),Influence (1-10),Total Score,Priority Tier,Outreach Message Draft,Contact Date,Response,Follow-up Date,Outcome,Notes
L071,,,,,,,,,,,,"=L71+M71+N71+O71",,,,,,,
L072,,,,,,,,,,,,"=L72+M72+N72+O72",,,,,,,
L073,,,,,,,,,,,,"=L73+M73+N73+O73",,,,,,,
L074,,,,,,,,,,,,"=L74+M74+N74+O74",,,,,,,
L075,,,,,,,,,,,,"=L75+M75+N75+O75",,,,,,,
L076,,,,,,,,,,,,"=L76+M76+N76+O76",,,,,,,
L077,,,,,,,,,,,,"=L77+M77+N77+O77",,,,,,,
L078,,,,,,,,,,,,"=L78+M78+N78+O78",,,,,,,
L079,,,,,,,,,,,,"=L79+M79+N79+O79",,,,,,,
L080,,,,,,,,,,,,"=L80+M80+N80+O80",,,,,,,
L081,,,,,,,,,,,,"=L81+M81+N81+O81",,,,,,,
L082,,,,,,,,,,,,"=L82+M82+N82+O82",,,,,,,
L083,,,,,,,,,,,,"=L83+M83+N83+O83",,,,,,,
L084,,,,,,,,,,,,"=L84+M84+N84+O84",,,,,,,
L085,,,,,,,,,,,,"=L85+M85+N85+O85",,,,,,,
L086,,,,,,,,,,,,"=L86+M86+N86+O86",,,,,,,
L087,,,,,,,,,,,,"=L87+M87+N87+O87",,,,,,,
L088,,,,,,,,,,,,"=L88+M88+N88+O88",,,,,,,
L089,,,,,,,,,,,,"=L89+M89+N89+O89",,,,,,,
L090,,,,,,,,,,,,"=L90+M90+N90+O90",,,,,,,
L091,,,,,,,,,,,,"=L91+M91+N91+O91",,,,,,,
L092,,,,,,,,,,,,"=L92+M92+N92+O92",,,,,,,
L093,,,,,,,,,,,,"=L93+M93+N93+O93",,,,,,,
L094,,,,,,,,,,,,"=L94+M94+N94+O94",,,,,,,
L095,,,,,,,,,,,,"=L95+M95+N95+O95",,,,,,,
L096,,,,,,,,,,,,"=L96+M96+N96+O96",,,,,,,
L097,,,,,,,,,,,,"=L97+M97+N97+O97",,,,,,,
L098,,,,,,,,,,,,"=L98+M98+N98+O98",,,,,,,
L099,,,,,,,,,,,,"=L99+M99+N99+O99",,,,,,,
L100,,,,,,,,,,,,"=L100+M100+N100+O100",,,,,,,
